subjectID,condition,numberOfUnlocks,numberOfUnlocksInRelation
AM29,A,45,194.0
CE17,A,20,154.0
Ei31,A,1,7.0
HJ42,A,6,56.0
HO30,A,2,28.0
LJ16,A,0,0.0
MN03,A,12,65.0
MV18,A,49,527.0
Mu06,A,13,82.0
SS83,A,0,0.0
Ss26,A,0,0.0
ej15,A,35,56.0
hp21,A,12,91.0
mm01,A,14,116.0
mm02,A,27,184.0
mt28,A,0,0.0
nf29,A,0,0.0
rr16,A,0,0.0
sm07,A,83,610.0
uj20,A,10,15.0
AM29,B,6,33.0
CE17,B,4,68.0
Ei31,B,12,97.0
HJ42,B,3,246.0
HO30,B,9,231.0
LJ16,B,8,73.0
MN03,B,15,18.0
MV18,B,18,189.0
Mu06,B,18,103.0
SS83,B,6,26.0
Ss26,B,9,84.0
ej15,B,59,186.0
hp21,B,1,35.0
mm01,B,0,0.0
mm02,B,0,0.0
mt28,B,4,43.0
nf29,B,1,0.0
rr16,B,13,42.0
sm07,B,94,984.0
uj20,B,0,0.0
