subjectID,sessionID,sessionDate,sessionStart,sessionEnd,sessionDuration,phubbsWhileSession,phubbs
AM29,,27/03/2024,17:52:34,18:12:48,0:20:14,1,['0:00:04']
AM29,,27/03/2024,18:16:09,18:34:37,0:18:28,1,['0:05:28']
AM29,,27/03/2024,18:39:47,18:53:02,0:13:15,0,[]
AM29,,27/03/2024,18:59:56,20:17:01,1:17:05,1,['0:00:59']
AM29,,27/03/2024,20:21:40,22:16:24,1:54:44,2,"['0:01:03', '0:19:47']"
AM29,,27/03/2024,22:19:34,22:40:16,0:20:42,0,[]
AM29,,27/03/2024,22:43:39,22:45:24,0:01:45,0,[]
AM29,,27/03/2024,22:59:57,23:02:22,0:02:25,0,[]
AM29,,28/03/2024,18:24:04,18:27:25,0:03:21,0,[]
AM29,,28/03/2024,18:50:47,19:11:57,0:21:10,1,['0:12:51']
AM29,,28/03/2024,19:48:27,19:51:11,0:02:44,0,[]
AM29,,28/03/2024,19:54:30,20:02:08,0:07:38,0,[]
AM29,,28/03/2024,20:10:51,21:29:12,1:18:21,7,"['0:02:05', '0:07:32', '0:02:07', '0:02:15', '0:00:05', '0:00:37', '0:00:39']"
AM29,,28/03/2024,23:34:12,23:43:10,0:08:58,2,"['0:02:03', '0:03:49']"
AM29,,28/03/2024,23:48:13,23:51:30,0:03:17,0,[]
AM29,,29/03/2024,08:28:26,08:41:30,0:13:04,0,[]
AM29,,29/03/2024,09:15:22,09:16:08,0:00:46,0,[]
AM29,,29/03/2024,09:22:42,09:50:02,0:27:20,3,"['0:02:04', '0:00:28', '0:03:24']"
AM29,,29/03/2024,09:59:51,10:07:04,0:07:13,1,['0:05:06']
AM29,,29/03/2024,10:29:08,14:28:17,3:59:09,0,[]
AM29,,29/03/2024,14:38:04,14:49:17,0:11:13,0,[]
AM29,,29/03/2024,21:15:05,21:16:30,0:01:25,0,[]
AM29,,29/03/2024,21:26:57,21:30:33,0:03:36,0,[]
AM29,,29/03/2024,21:46:41,23:04:55,1:18:14,2,"['0:21:01', '0:06:48']"
AM29,,30/03/2024,07:01:21,07:11:12,0:09:51,0,[]
AM29,,30/03/2024,11:27:16,11:51:04,0:23:48,0,[]
AM29,,30/03/2024,11:57:48,13:02:06,1:04:18,4,"['0:01:13', '0:00:43', '0:01:42', '0:00:06']"
AM29,,30/03/2024,15:06:15,15:10:41,0:04:26,0,[]
AM29,,30/03/2024,15:17:37,15:41:35,0:23:58,3,"['0:06:00', '0:03:57', '0:00:08']"
AM29,,30/03/2024,15:44:45,16:15:47,0:31:02,1,['0:02:24']
AM29,,30/03/2024,16:19:17,16:21:27,0:02:10,0,[]
AM29,,30/03/2024,16:27:17,17:20:57,0:53:40,0,[]
AM29,,30/03/2024,17:24:05,20:48:28,3:24:23,2,"['0:03:02', '0:00:34']"
AM29,,30/03/2024,20:52:15,23:59:21,3:07:06,11,"['0:01:53', '0:00:14', '0:00:40', '0:05:10', '0:28:28', '0:02:56', '0:01:06', '0:00:31', '0:06:33', '0:01:02', '0:10:04']"
AM29,,31/03/2024,00:01:17,00:20:31,0:19:14,1,['0:10:43']
AM29,,31/03/2024,08:05:38,08:05:55,0:00:17,0,[]
AM29,,31/03/2024,08:11:22,08:12:48,0:01:26,0,[]
AM29,,31/03/2024,09:30:14,09:33:39,0:03:25,0,[]
AM29,,31/03/2024,09:50:17,10:22:26,0:32:09,2,"['0:03:52', '0:03:39']"
AM29,,31/03/2024,10:30:30,10:51:54,0:21:24,0,[]
AM29,,31/03/2024,10:55:12,10:59:40,0:04:28,0,[]
AM29,,03/04/2024,17:40:29,17:45:16,0:04:47,0,[]
AM29,,03/04/2024,17:49:46,18:01:28,0:11:42,0,[]
AM29,,03/04/2024,18:05:41,18:25:08,0:19:27,0,[]
AM29,,03/04/2024,18:48:19,19:22:01,0:33:42,0,[]
AM29,,03/04/2024,20:50:59,20:55:08,0:04:09,0,[]
AM29,,03/04/2024,21:20:58,21:34:04,0:13:06,0,[]
AM29,,03/04/2024,21:45:23,22:21:38,0:36:15,1,['0:07:54']
AM29,,03/04/2024,22:25:28,22:58:40,0:33:12,2,"['0:02:18', '0:00:19']"
AM29,,03/04/2024,23:02:15,23:30:07,0:27:52,3,"['0:04:05', '0:02:18', '0:01:40']"
CE17,,27/03/2024,17:52:35,17:58:53,0:06:18,1,['0:03:04']
CE17,,27/03/2024,18:02:48,18:30:58,0:28:10,0,[]
CE17,,27/03/2024,18:40:43,19:11:12,0:30:29,0,[]
CE17,,27/03/2024,19:14:47,22:20:21,3:05:34,1,['0:00:59']
CE17,,27/03/2024,22:26:17,22:34:14,0:07:57,0,[]
CE17,,27/03/2024,22:46:55,22:50:22,0:03:27,0,[]
CE17,,27/03/2024,23:00:15,23:02:17,0:02:02,0,[]
CE17,,28/03/2024,18:52:27,19:04:06,0:11:39,0,[]
CE17,,28/03/2024,19:56:26,20:02:29,0:06:03,0,[]
CE17,,28/03/2024,20:17:41,21:28:07,1:10:26,3,"['0:07:33', '0:04:07', '0:03:44']"
CE17,,28/03/2024,23:36:00,23:42:06,0:06:06,0,[]
CE17,,28/03/2024,23:48:24,23:51:56,0:03:32,0,[]
CE17,,29/03/2024,09:16:12,09:48:37,0:32:25,0,[]
CE17,,29/03/2024,10:00:11,10:06:53,0:06:42,0,[]
CE17,,29/03/2024,10:26:03,14:30:12,4:04:09,0,[]
CE17,,29/03/2024,14:33:28,14:35:02,0:01:34,0,[]
CE17,,29/03/2024,14:38:12,14:39:36,0:01:24,0,[]
CE17,,29/03/2024,14:45:16,14:47:54,0:02:38,1,['0:00:38']
CE17,,29/03/2024,21:14:59,21:16:16,0:01:17,0,[]
CE17,,29/03/2024,21:48:59,22:11:12,0:22:13,1,['0:05:12']
CE17,,29/03/2024,22:15:22,23:03:17,0:47:55,1,['0:09:39']
CE17,,30/03/2024,11:27:44,11:49:56,0:22:12,2,"['0:00:16', '0:00:28']"
CE17,,30/03/2024,11:58:48,12:51:06,0:52:18,3,"['0:06:04', '0:05:57', '0:01:23']"
CE17,,30/03/2024,12:54:55,13:02:35,0:07:40,0,[]
CE17,,30/03/2024,15:11:18,15:15:29,0:04:11,0,[]
CE17,,30/03/2024,15:22:33,15:23:06,0:00:33,0,[]
CE17,,30/03/2024,15:27:08,16:14:47,0:47:39,1,['0:03:50']
CE17,,30/03/2024,16:19:22,16:22:42,0:03:20,0,[]
CE17,,30/03/2024,16:28:15,17:57:01,1:28:46,0,[]
CE17,,30/03/2024,18:10:20,19:24:37,1:14:17,2,"['0:02:14', '0:01:10']"
CE17,,30/03/2024,19:27:41,19:28:00,0:00:19,0,[]
CE17,,30/03/2024,19:45:58,20:21:07,0:35:09,2,"['0:00:14', '0:00:15']"
CE17,,30/03/2024,20:24:51,20:50:52,0:26:01,0,[]
CE17,,30/03/2024,20:54:01,21:00:48,0:06:47,0,[]
CE17,,30/03/2024,21:05:56,22:12:49,1:06:53,2,"['0:13:52', '0:01:17']"
CE17,,30/03/2024,22:16:09,23:04:47,0:48:38,0,[]
CE17,,30/03/2024,23:13:41,00:03:56,0:50:15,0,[]
CE17,,31/03/2024,00:04:34,00:19:53,0:15:19,0,[]
CE17,,31/03/2024,08:12:04,08:15:02,0:02:58,0,[]
CE17,,31/03/2024,09:50:31,10:19:57,0:29:26,0,[]
CE17,,31/03/2024,10:31:50,10:50:57,0:19:07,0,[]
CE17,,03/04/2024,17:44:46,17:45:14,0:00:28,0,[]
