dateEndOfInteraction,dateStartOfInteraction,endOfInteraction,startOfInteraction,subjectID,ID
27/03/2024,27/03/2024,18:12:48,17:52:34,AM29,
27/03/2024,27/03/2024,18:34:37,18:16:09,AM29,
27/03/2024,27/03/2024,18:53:02,18:39:47,AM29,
27/03/2024,27/03/2024,20:17:01,18:59:56,AM29,
27/03/2024,27/03/2024,22:16:24,20:21:40,AM29,
27/03/2024,27/03/2024,22:40:16,22:19:34,AM29,
27/03/2024,27/03/2024,22:45:24,22:43:39,AM29,
27/03/2024,27/03/2024,23:02:22,22:59:57,AM29,
28/03/2024,28/03/2024,18:27:25,18:24:04,AM29,
28/03/2024,28/03/2024,19:11:57,18:50:47,AM29,
28/03/2024,28/03/2024,19:51:11,19:48:27,AM29,
28/03/2024,28/03/2024,20:02:08,19:54:30,AM29,
28/03/2024,28/03/2024,21:29:12,20:10:51,AM29,
28/03/2024,28/03/2024,23:43:10,23:34:12,AM29,
28/03/2024,28/03/2024,23:51:30,23:48:13,AM29,
29/03/2024,29/03/2024,08:41:30,08:28:26,AM29,
29/03/2024,29/03/2024,09:16:08,09:15:22,AM29,
29/03/2024,29/03/2024,09:50:02,09:22:42,AM29,
29/03/2024,29/03/2024,10:07:04,09:59:51,AM29,
29/03/2024,29/03/2024,14:28:17,10:29:08,AM29,
29/03/2024,29/03/2024,14:49:17,14:38:04,AM29,
29/03/2024,29/03/2024,21:16:30,21:15:05,AM29,
29/03/2024,29/03/2024,21:30:33,21:26:57,AM29,
29/03/2024,29/03/2024,23:04:55,21:46:41,AM29,
30/03/2024,30/03/2024,07:11:12,07:01:21,AM29,
30/03/2024,30/03/2024,11:51:04,11:27:16,AM29,
30/03/2024,30/03/2024,13:02:06,11:57:48,AM29,
30/03/2024,30/03/2024,15:10:41,15:06:15,AM29,
30/03/2024,30/03/2024,15:41:35,15:17:37,AM29,
30/03/2024,30/03/2024,16:15:47,15:44:45,AM29,
30/03/2024,30/03/2024,16:21:27,16:19:17,AM29,
30/03/2024,30/03/2024,17:20:57,16:27:17,AM29,
30/03/2024,30/03/2024,20:48:28,17:24:05,AM29,
30/03/2024,30/03/2024,23:59:21,20:52:15,AM29,
31/03/2024,31/03/2024,00:20:31,00:01:17,AM29,
31/03/2024,31/03/2024,08:05:55,08:05:38,AM29,
31/03/2024,31/03/2024,08:12:48,08:11:22,AM29,
31/03/2024,31/03/2024,09:33:39,09:30:14,AM29,
31/03/2024,31/03/2024,10:22:26,09:50:17,AM29,
