subjectID,condition,sessionID,pci_value,rschi_value,rschi_value_anger,rschi_value_autonomy,rschi_value_apathy,pdso_value_self,pdso_value_other,ps_value,ios_value,csi
uj20,A,uj20 1710795270700,6.666666666666667,3.0,2.75,4.0,2.25,1.3333333333333333,2.0,2.2,7,Game night 
uj20,A,uj20 1710826645878,5.0,2.433333333333333,1.25,4.8,1.25,1.0,1.6666666666666667,2.2,7,Breakfast 
hp21,A,hp21 1711393200984,5.5,2.9,2.5,3.2,3.0,4.333333333333333,3.6666666666666665,2.6,6,Dinner and watching series 
HJ42,A,HJ42 1711396694554,5.5,2.5166666666666666,2.0,3.8,1.75,3.0,3.6666666666666665,2.4,5,dinner together 
AM29,A,AM29 1711560877851,5.5,2.0833333333333335,1.0,4.0,1.25,6.0,4.666666666666667,2.1,7,Coffee and Tee
CE17,A,CE17 1711560658664,5.166666666666667,2.9166666666666665,2.0,4.0,2.75,2.0,4.666666666666667,3.1,5,Coffee
AM29,A,AM29 1711576943006,5.333333333333333,3.0,2.0,5.0,2.0,2.0,3.3333333333333335,2.0,7,Coffee and tea 
AM29,A,AM29 1711649517880,6.0,2.9166666666666665,1.75,5.0,2.0,2.0,2.0,2.1,7,Dinner
CE17,A,CE17 1711657687084,6.0,2.75,2.0,4.0,2.25,2.0,4.333333333333333,2.8,6,Dinner
CE17,A,CE17 1711720074318,6.0,3.0,2.0,4.0,3.0,2.0,5.0,2.8,6,Breakfast
AM29,A,AM29 1711749895285,6.0,2.6666666666666665,2.0,4.0,2.0,2.0,2.0,2.0,7,Breakfast
CE17,A,CE17 1711795796351,6.0,3.0,2.0,4.0,3.0,2.0,4.666666666666667,2.8,6,Breakfast
CE17,A,CE17 1711800155043,6.0,3.0,2.0,4.0,3.0,2.0,4.666666666666667,2.8,6,Lunch
AM29,A,AM29 1711875580622,6.0,2.6666666666666665,2.0,4.0,2.0,4.333333333333333,4.0,2.0,7,Breakfast 
CE17,A,CE17 1711840793131,6.0,3.0,2.0,4.0,3.0,2.0,4.666666666666667,2.8,6,Lunch
MV18,A,MV18 1712574988247,3.1666666666666665,1.8166666666666667,1.25,3.2,1.0,3.6666666666666665,4.666666666666667,3.1,2,Learning together 
MV18,A,MV18 1712590391990,2.6666666666666665,2.15,2.25,3.2,1.0,5.0,4.333333333333333,2.6,2,Study meeting 
MV18,A,MV18 1712599747611,3.6666666666666665,2.4,2.25,3.2,1.75,4.0,4.0,2.6,3,Study 
Mu06,A,Mu06 1712750183091,4.5,2.533333333333333,1.5,3.6,2.5,2.6666666666666665,3.6666666666666665,3.2,3,chatting in between meetings at university
MV18,A,MV18 1712767650758,5.333333333333333,1.9833333333333334,1.75,3.2,1.0,3.3333333333333335,3.6666666666666665,2.7,3,Talking randomly 
MV18,A,MV18 1712784498218,5.333333333333333,2.3333333333333335,2.0,3.0,2.0,3.3333333333333335,4.0,2.6,3,Chilling 
Mu06,A,Mu06 1712784504267,4.333333333333333,2.8333333333333335,2.0,4.0,2.5,5.666666666666667,4.666666666666667,3.0,3,chilling
MV18,A,MV18 1712842808857,3.6666666666666665,2.3333333333333335,2.0,3.0,2.0,5.0,4.666666666666667,2.5,3,Shopping 
mm02,A,mm02 1713245777745,6.0,3.4,3.0,4.2,3.0,3.0,3.0,1.5,6,Dinner together 
mm01,A,mm01 1713245751625,5.5,2.466666666666667,1.25,4.4,1.75,4.333333333333333,3.3333333333333335,3.3,6,Dinner together
HO30,A,HO30 1713434873914,3.5,2.466666666666667,2.0,3.4,2.0,4.0,4.333333333333333,2.9,2,"Mittagessen, kurzes Gespräch "
sm07,A,sm07 1713770299598,5.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5,Eat
sm07,A,sm07 1713802124851,5.666666666666667,1.0,1.0,1.0,1.0,1.6666666666666667,1.6666666666666667,1.0,5,Private office
sm07,A,sm07 1713810802141,5.833333333333333,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,6,Cooking and dinner
sm07,A,sm07 1713859257054,4.666666666666667,1.0,1.0,1.0,1.0,2.3333333333333335,3.6666666666666665,1.0,4,Breakfast
sm07,A,sm07 1713900795196,5.166666666666667,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4,"Chill, dinner"
sm07,A,sm07 1713942204962,5.666666666666667,1.0,1.0,1.0,1.0,3.3333333333333335,2.0,1.0,5,Breakfast
sm07,A,sm07 1714028307861,4.666666666666667,1.0,1.0,1.0,1.0,4.0,4.0,1.0,4,Breakfasr
sm07,A,sm07 1714063011181,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,5,"Dinner, chill, work"
sm07,A,sm07 1714072233567,4.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2,Dinner
sm07,A,sm07 1714128867465,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,4,Chill
sm07,A,sm07 1714298161084,4.833333333333333,1.0,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.0,4,Breakfast
sm07,A,sm07 1714301788919,5.5,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,6,Chill
