subjectID,condition,sessionID,pci_value,rschi_value,rschi_value_anger,rschi_value_autonomy,rschi_value_apathy,pdso_value_self,pdso_value_other,ps_value,ios_value,csi
SS83,B,SS83 1710863791301,5.166666666666667,2.6166666666666667,2.0,3.6,2.25,4.0,2.0,3.1,5,Time to speak 
Ss26,B,Ss26 1710863629412,5.166666666666667,2.2666666666666666,1.5,3.8,1.5,2.3333333333333335,2.0,2.6,5,Lunch together 
SS83,B,SS83 1711272696599,5.166666666666667,3.3666666666666667,3.0,4.6,2.5,2.6666666666666665,2.6666666666666665,3.1,2,Short meeting 
uj20,B,uj20 1711434134420,6.666666666666667,2.3000000000000003,1.5,4.4,1.0,2.0,2.0,2.2,7,Movie night
AM29,B,AM29 1712179807297,6.0,2.6666666666666665,2.0,4.0,2.0,4.333333333333333,2.0,1.7,7,Sitting together 
HJ42,B,HJ42 1712317579495,5.666666666666667,2.1999999999999997,2.0,2.6,2.0,2.3333333333333335,3.0,2.7,5,going out together
hp21,B,hp21 1712319551703,4.333333333333333,3.1,3.0,3.8,2.5,3.0,4.333333333333333,2.3,5,Planing daily Activties 
HO30,B,HO30 1712573012478,2.6666666666666665,2.466666666666667,2.0,3.4,2.0,5.0,3.6666666666666665,2.6,2,Gemeinsam im gleichen Raum arbeiten / Mittagessen 
LJ16,B,LJ16 1712592076573,5.833333333333333,1.9166666666666667,1.5,3.0,1.25,3.0,2.3333333333333335,2.8,4,"Lunch together, working next to each other after"
HO30,B,HO30 1712832027889,2.3333333333333335,2.5500000000000003,2.0,3.4,2.25,4.666666666666667,4.333333333333333,2.9,2,Mittagessen
sm07,B,sm07 1713204411203,6.0,1.0666666666666667,1.0,1.2,1.0,1.3333333333333333,1.0,1.5,6,Chilling and eating
sm07,B,sm07 1713209939232,6.5,1.2666666666666666,1.0,1.8,1.0,1.6666666666666667,1.0,1.0,7,Cooking
ej15,B,ej15 1713210146113,6.333333333333333,1.1333333333333333,1.0,1.4,1.0,1.0,1.0,1.0,7,kitchensession
Mu06,B,Mu06 1713256408615,4.666666666666667,2.766666666666667,2.0,3.8,2.5,2.3333333333333335,3.0,3.3,2,chat in pc-pool
sm07,B,sm07 1713259344728,6.0,1.1333333333333333,1.0,1.4,1.0,1.3333333333333333,1.0,1.0,6,Breakfast
MV18,B,MV18 1713262811784,4.666666666666667,1.5999999999999999,1.0,2.8,1.0,4.0,3.3333333333333335,2.8,3,Talking 
sm07,B,sm07 1713263324612,6.0,1.2666666666666666,1.0,1.8,1.0,1.0,1.0,1.0,5,Lunch
Mu06,B,Mu06 1713279642232,5.333333333333333,2.8666666666666667,2.5,3.6,2.5,4.666666666666667,5.0,3.5,3,chatting during work
sm07,B,sm07 1713277584796,5.666666666666667,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5,Chill
ej15,B,ej15 1713331957801,5.666666666666667,1.3333333333333333,1.0,2.0,1.0,1.0,1.0,1.0,6,chilling
MV18,B,MV18 1713279646046,4.0,1.75,1.25,3.0,1.0,4.666666666666667,4.333333333333333,2.7,3,Chilling (Zwischenstopp) 
mt28,B,mt28 1713346077690,4.333333333333333,2.3333333333333335,1.0,4.0,2.0,3.3333333333333335,4.0,2.1,2,Mittagessen in der Mensa
rr16,B,rr16 1713346149416,2.8333333333333335,2.216666666666667,1.0,4.4,1.25,1.6666666666666667,3.3333333333333335,2.4,2,Working together
ej15,B,ej15 1713336684202,5.833333333333333,1.2,1.0,1.6,1.0,1.0,1.3333333333333333,1.0,6,breakfast
sm07,B,sm07 1713362332960,6.333333333333333,1.2666666666666666,1.0,1.8,1.0,1.0,1.3333333333333333,1.0,6,Chill
mt28,B,mt28 1713369445619,3.5,2.3666666666666667,1.0,4.6,1.5,4.333333333333333,4.0,2.2,3,Essen bei der Cafete holen 
rr16,B,rr16 1713369755396,3.0,1.9666666666666668,1.5,3.4,1.0,3.3333333333333335,4.0,3.2,2,Working together
sm07,B,sm07 1713379361232,5.833333333333333,1.2,1.0,1.6,1.0,1.0,1.0,1.0,6,afterwork chill
sm07,B,sm07 1713382821490,5.0,1.2,1.0,1.6,1.0,1.0,3.0,1.0,5,"Chill, cook, eat"
ej15,B,ej15 1713382967147,5.666666666666667,1.3333333333333333,1.0,2.0,1.0,3.3333333333333335,2.0,1.0,6,eating
sm07,B,sm07 1713426451141,6.5,1.2666666666666666,1.0,1.8,1.0,1.6666666666666667,1.6666666666666667,1.0,7,Breakfast and chill
sm07,B,sm07 1713438665020,5.333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,Lunch & chill
sm07,B,sm07 1713511047653,6.166666666666667,1.0,1.0,1.0,1.0,2.0,1.3333333333333333,1.0,6,Breakfast
MV18,B,MV18 1713650585630,5.166666666666667,1.5333333333333332,1.0,2.6,1.0,4.0,2.6666666666666665,2.8,4,"Chilling, party "
sm07,B,sm07 1713686929235,6.166666666666667,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,6,Breakfast
sm07,B,sm07 1713705547916,6.333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,"Planning cooking action, search together for recipe"
