subjectID,condition,sessionID,pci_value,rschi_value,rschi_value_anger,rschi_value_autonomy,rschi_value_apathy,pdso_value_self,pdso_value_other,ps_value,ios_value,csi
SS83,,SS83 1711063901945,5.5,2.85,2.5,3.8,2.25,2.0,2.0,3.2,6,Party
CE17,,CE17 1711652549344,5.833333333333333,2.8333333333333335,2.0,4.0,2.5,2.0,4.666666666666667,3.0,6,Dinner
,,,4.0,3.3666666666666667,3.25,3.6,3.25,4.0,4.0,3.0,4,Jj
,,,4.0,3.0,3.0,3.0,3.0,4.333333333333333,4.0,3.0,4,Jj
Mu06,,Mu06 1712595052820,4.666666666666667,3.266666666666667,3.0,3.8,3.0,3.6666666666666665,4.333333333333333,3.1,3,learning in the university 
ej15,,ej15 1713205710095,6.166666666666667,1.2666666666666666,1.0,1.8,1.0,1.0,1.3333333333333333,1.0,7,chill
sm07,,sm07 1713212742015,6.166666666666667,1.1333333333333333,1.0,1.4,1.0,1.3333333333333333,1.3333333333333333,1.0,7,Chill
ej15,,ej15 1713281789634,6.166666666666667,1.1333333333333333,1.0,1.4,1.0,1.0,1.0,1.0,6,chilling
sm07,,sm07 1713295940978,6.166666666666667,1.0,1.0,1.0,1.0,1.0,3.0,1.0,6,Chill
LJ16,,LJ16 1713445278229,5.5,2.066666666666667,1.0,3.2,2.0,3.0,2.6666666666666665,3.3,3,Coffee & snack break
Mu06,,Mu06 1713650548144,5.5,2.766666666666667,2.25,3.8,2.25,3.0,3.0,3.4,2,breakfast with friends
