"appsUsed","condition","date","endOfPhoneUse","startOfPhoneUse","subjectID"
"[]","B","03/04/2024","21:55:16","21:47:22","AM29"
"[]","B","03/04/2024","22:29:03","22:26:45","AM29"
"[]","B","03/04/2024","22:29:57","22:29:38","AM29"
"[]","B","03/04/2024","23:01:50","22:56:24","AM29"
"[]","B","03/04/2024","23:11:02","23:06:57","AM29"
"[]","B","03/04/2024","23:15:00","23:12:42","AM29"
"[]","B","03/04/2024","23:16:53","23:15:13","AM29"
"[]","B","03/04/2024","23:34:40","23:22:56","AM29"
"[]","B","03/04/2024","18:07:33","18:07:14","CE17"
"[]","B","03/04/2024","23:24:09","23:23:22","CE17"
"[]","B","03/04/2024","23:26:41","23:25:01","CE17"
"[]","B","03/04/2024","23:28:16","23:27:59","CE17"
"[]","B","26/03/2024","09:50:09","09:50:00","Ei31"
"[]","B","26/03/2024","10:04:51","10:04:43","Ei31"
"[]","B","26/03/2024","10:07:16","10:05:49","Ei31"
"[]","B","26/03/2024","10:37:53","10:34:52","Ei31"
"[]","B","26/03/2024","10:39:27","10:38:40","Ei31"
"[]","B","26/03/2024","10:41:47","10:41:34","Ei31"
"[]","B","26/03/2024","11:10:02","11:09:34","Ei31"
"[]","B","26/03/2024","11:18:38","11:18:30","Ei31"
"[]","B","26/03/2024","11:19:07","11:18:40","Ei31"
"[]","B","26/03/2024","11:43:13","11:42:35","Ei31"
"[]","B","28/03/2024","22:08:24","22:06:31","Ei31"
"[]","B","28/03/2024","22:25:13","22:24:17","Ei31"
"[]","B","05/04/2024","13:45:09","13:44:53","HJ42"
"[]","B","05/04/2024","13:45:50","13:45:15","HJ42"
"[]","B","05/04/2024","13:46:03","13:45:58","HJ42"
"[]","B","08/04/2024","11:20:47","11:20:25","HO30"
"[]","B","08/04/2024","11:25:34","11:25:23","HO30"
"[]","B","08/04/2024","11:35:57","11:35:09","HO30"
"[]","B","08/04/2024","11:38:31","11:37:29","HO30"
"[]","B","08/04/2024","12:01:40","11:59:48","HO30"
"[]","B","08/04/2024","13:03:02","12:57:54","HO30"
"[]","B","08/04/2024","14:02:25","13:57:53","HO30"
"[]","B","08/04/2024","17:52:27","17:52:16","HO30"
"[]","B","09/04/2024","11:32:01","11:31:49","HO30"
"[]","B","11/04/2024","12:38:10","12:38:01","HO30"
"[]","B","08/04/2024","11:20:52","11:20:23","LJ16"
"[com.whatsapp, com.google.android.inputmethod.latin]","B","08/04/2024","12:05:45","12:04:32","LJ16"
"[]","B","08/04/2024","12:16:48","12:16:38","LJ16"
"[com.sec.android.cover.ledcover]","B","08/04/2024","12:59:34","12:59:26","LJ16"
"[com.mdv.DINGCompanion]","B","08/04/2024","17:52:28","17:51:49","LJ16"
"[]","B","08/04/2024","17:52:46","17:52:44","LJ16"
"[]","B","08/04/2024","17:52:56","17:52:47","LJ16"
"[com.twitter.android, com.whatsapp]","B","08/04/2024","17:56:29","17:55:53","LJ16"
"[]","B","26/03/2024","09:50:36","09:50:11","MN03"
"[]","B","26/03/2024","09:50:48","09:50:40","MN03"
"[]","B","26/03/2024","09:53:20","09:50:58","MN03"
"[]","B","26/03/2024","10:02:46","10:02:08","MN03"
"[]","B","26/03/2024","10:03:43","10:03:16","MN03"
"[]","B","26/03/2024","10:06:35","10:05:28","MN03"
"[]","B","26/03/2024","10:15:18","10:14:40","MN03"
"[]","B","26/03/2024","10:34:27","10:34:11","MN03"
"[]","B","26/03/2024","10:42:33","10:34:51","MN03"
"[]","B","26/03/2024","10:44:27","10:44:22","MN03"
"[]","B","26/03/2024","11:41:34","11:34:49","MN03"
"[]","B","26/03/2024","11:44:27","11:41:56","MN03"
"[]","B","26/03/2024","11:52:26","11:45:38","MN03"
"[]","B","26/03/2024","12:03:34","11:58:10","MN03"
"[]","B","28/03/2024","23:21:18","23:20:53","MN03"
"[com.android.chrome]","B","16/04/2024","10:30:36","10:30:24","MV18"
"[org.telegram.messenger, com.android.chrome, com.google.android.inputmethod.latin]","B","16/04/2024","11:52:28","11:51:48","MV18"
"[org.telegram.messenger, com.google.android.inputmethod.latin]","B","16/04/2024","11:58:41","11:58:34","MV18"
"[com.Slack]","B","16/04/2024","12:03:41","12:03:02","MV18"
"[com.whatsapp, com.google.android.inputmethod.latin]","B","16/04/2024","15:22:43","15:21:52","MV18"
"[com.whatsapp, com.google.android.inputmethod.latin]","B","16/04/2024","15:45:31","15:44:55","MV18"
"[com.whatsapp, com.google.android.inputmethod.latin]","B","16/04/2024","15:48:33","15:48:03","MV18"
"[com.whatsapp, com.google.android.inputmethod.latin]","B","16/04/2024","16:05:31","16:04:51","MV18"
"[com.oplus.camera, com.whatsapp, com.oneplus.gallery]","B","16/04/2024","16:47:12","16:45:26","MV18"
"[]","B","16/04/2024","17:00:46","17:00:16","MV18"
"[com.android.chrome, com.google.android.inputmethod.latin]","B","20/04/2024","18:21:29","18:20:47","MV18"
"[]","B","20/04/2024","18:21:42","18:21:31","MV18"
"[com.android.chrome, com.google.android.inputmethod.latin, com.spotify.music]","B","20/04/2024","18:31:32","18:30:06","MV18"
"[com.google.android.apps.maps, com.google.android.inputmethod.latin, com.android.chrome]","B","20/04/2024","19:08:14","19:08:11","MV18"
"[com.spotify.music, com.google.android.inputmethod.latin]","B","20/04/2024","22:16:08","22:15:53","MV18"
"[]","B","20/04/2024","22:16:23","22:16:13","MV18"
"[]","B","20/04/2024","22:34:48","22:34:46","MV18"
"[]","B","20/04/2024","23:07:15","23:07:09","MV18"
"[com.whatsapp]","B","16/04/2024","10:29:07","10:28:27","Mu06"
"[com.whatsapp]","B","16/04/2024","11:54:37","11:54:25","Mu06"
"[com.freestylelibre3.app.de]","B","16/04/2024","11:55:33","11:55:23","Mu06"
"[com.freestylelibre3.app.de]","B","16/04/2024","11:55:54","11:55:41","Mu06"
"[]","B","16/04/2024","12:00:48","12:00:43","Mu06"
"[]","B","16/04/2024","12:09:24","12:08:51","Mu06"
"[]","B","16/04/2024","12:17:53","12:17:38","Mu06"
"[com.whatsapp, com.freestylelibre3.app.de]","B","16/04/2024","15:41:49","15:40:57","Mu06"
"[com.whatsapp, com.google.android.apps.maps, com.samsung.android.honeyboard]","B","16/04/2024","19:01:52","19:00:32","Mu06"
"[com.google.android.apps.maps, com.whatsapp, de.hafas.android.db, com.samsung.android.honeyboard]","B","16/04/2024","19:04:05","19:02:21","Mu06"
"[de.hafas.android.db, com.whatsapp, com.samsung.android.honeyboard]","B","16/04/2024","19:12:18","19:07:03","Mu06"
"[]","B","20/04/2024","17:59:52","17:59:47","Mu06"
"[]","B","20/04/2024","18:21:32","18:21:11","Mu06"
"[]","B","20/04/2024","18:27:54","18:27:12","Mu06"
"[]","B","20/04/2024","18:54:59","18:52:26","Mu06"
"[]","B","20/04/2024","19:26:49","19:26:26","Mu06"
"[]","B","20/04/2024","20:22:28","20:20:18","Mu06"
"[]","B","20/04/2024","23:47:05","23:46:56","Mu06"
"[]","B","19/03/2024","16:06:09","16:02:24","SS83"
"[]","B","19/03/2024","16:24:16","16:17:08","SS83"
"[]","B","19/03/2024","16:43:51","16:33:09","SS83"
"[]","B","19/03/2024","16:47:50","16:46:21","SS83"
"[]","B","19/03/2024","16:51:50","16:51:31","SS83"
"[]","B","19/03/2024","16:58:06","16:52:11","SS83"
"[]","B","22/03/2024","00:02:17","00:00:21","SS83"
"[]","B","22/03/2024","00:07:00","00:06:16","SS83"
"[]","B","22/03/2024","00:26:16","00:17:29","SS83"
"[]","B","23/03/2024","21:20:58","21:20:57","SS83"
"[com.huawei.intelligent, com.huawei.search, com.touchtype.swiftkey]","B","19/03/2024","16:04:28","16:02:20","Ss26"
"[null, com.mdv.VVSMobil, com.touchtype.swiftkey, com.instagram.android]","B","19/03/2024","16:26:11","16:26:00","Ss26"
"[]","B","19/03/2024","16:30:03","16:29:58","Ss26"
"[com.onemt.and.kc, com.huawei.intelligent, com.google.android.googlequicksearchbox, com.touchtype.swiftkey, com.google.android.apps.maps, com.mdv.VVSMobil, null]","B","19/03/2024","16:50:23","16:36:34","Ss26"
"[]","B","21/03/2024","18:06:35","18:06:35","Ss26"
"[]","B","21/03/2024","18:11:19","18:08:39","Ss26"
"[]","B","21/03/2024","18:12:09","18:12:08","Ss26"
