subjectID,condition,sessionID,csi
uj20,A,uj20 1710795270700,Game night 
uj20,A,uj20 1710826645878,Breakfast 
SS83,B,SS83 1710863791301,Time to speak 
Ss26,B,Ss26 1710863629412,Lunch together 
SS83,,SS83 1711063901945,Party
SS83,B,SS83 1711272696599,Short meeting 
hp21,A,hp21 1711393200984,Dinner and watching series 
uj20,B,uj20 1711434134420,Movie night
HJ42,A,HJ42 1711396694554,dinner together 
AM29,A,AM29 1711560877851,Coffee and Tee
CE17,A,CE17 1711560658664,Coffee
AM29,A,AM29 1711576943006,Coffee and tea 
AM29,A,AM29 1711649517880,Dinner
CE17,,CE17 1711652549344,Dinner
CE17,A,CE17 1711657687084,Dinner
CE17,A,CE17 1711720074318,Breakfast
AM29,A,AM29 1711749895285,Breakfast
CE17,A,CE17 1711795796351,Breakfast
CE17,A,CE17 1711800155043,Lunch
AM29,A,AM29 1711875580622,Breakfast 
CE17,A,CE17 1711840793131,Lunch
,,,Jj
,,,Jj
AM29,B,AM29 1712179807297,Sitting together 
HJ42,B,HJ42 1712317579495,going out together
hp21,B,hp21 1712319551703,Planing daily Activties 
HO30,B,HO30 1712573012478,Gemeinsam im gleichen Raum arbeiten / Mittagessen 
MV18,A,MV18 1712574988247,Learning together 
LJ16,B,LJ16 1712592076573,"Lunch together, working next to each other after"
MV18,A,MV18 1712590391990,Study meeting 
Mu06,,Mu06 1712595052820,learning in the university 
MV18,A,MV18 1712599747611,Study 
Mu06,A,Mu06 1712750183091,chatting in between meetings at university
MV18,A,MV18 1712767650758,Talking randomly 
MV18,A,MV18 1712784498218,Chilling 
Mu06,A,Mu06 1712784504267,chilling
HO30,B,HO30 1712832027889,Mittagessen
MV18,A,MV18 1712842808857,Shopping 
sm07,B,sm07 1713204411203,Chilling and eating
ej15,,ej15 1713205710095,chill
sm07,B,sm07 1713209939232,Cooking
ej15,B,ej15 1713210146113,kitchensession
sm07,,sm07 1713212742015,Chill
Mu06,B,Mu06 1713256408615,chat in pc-pool
sm07,B,sm07 1713259344728,Breakfast
MV18,B,MV18 1713262811784,Talking 
sm07,B,sm07 1713263324612,Lunch
Mu06,B,Mu06 1713279642232,chatting during work
mm02,A,mm02 1713245777745,Dinner together 
mm01,A,mm01 1713245751625,Dinner together
sm07,B,sm07 1713277584796,Chill
ej15,,ej15 1713281789634,chilling
sm07,,sm07 1713295940978,Chill
ej15,B,ej15 1713331957801,chilling
MV18,B,MV18 1713279646046,Chilling (Zwischenstopp) 
mt28,B,mt28 1713346077690,Mittagessen in der Mensa
rr16,B,rr16 1713346149416,Working together
ej15,B,ej15 1713336684202,breakfast
sm07,B,sm07 1713362332960,Chill
mt28,B,mt28 1713369445619,Essen bei der Cafete holen 
rr16,B,rr16 1713369755396,Working together
sm07,B,sm07 1713379361232,afterwork chill
sm07,B,sm07 1713382821490,"Chill, cook, eat"
ej15,B,ej15 1713382967147,eating
sm07,B,sm07 1713426451141,Breakfast and chill
HO30,A,HO30 1713434873914,"Mittagessen, kurzes Gespräch "
sm07,B,sm07 1713438665020,Lunch & chill
LJ16,,LJ16 1713445278229,Coffee & snack break
sm07,B,sm07 1713511047653,Breakfast
MV18,B,MV18 1713650585630,"Chilling, party "
sm07,B,sm07 1713686929235,Breakfast
Mu06,,Mu06 1713650548144,breakfast with friends
sm07,B,sm07 1713705547916,"Planning cooking action, search together for recipe"
sm07,A,sm07 1713770299598,Eat
sm07,A,sm07 1713802124851,Private office
sm07,A,sm07 1713810802141,Cooking and dinner
sm07,A,sm07 1713859257054,Breakfast
sm07,A,sm07 1713900795196,"Chill, dinner"
sm07,A,sm07 1713942204962,Breakfast
sm07,A,sm07 1714028307861,Breakfasr
sm07,A,sm07 1714063011181,"Dinner, chill, work"
sm07,A,sm07 1714072233567,Dinner
sm07,A,sm07 1714128867465,Chill
sm07,A,sm07 1714298161084,Breakfast
sm07,A,sm07 1714301788919,Chill
